num_comments,num_likes,num_new_celebrities,num_traditional_celebrities,brandname,productcategory
117,4753,0,0,toyotausa,car
9,664,0,0,kitchenaidusa,home equipment
161,25663,0,0,danielwellington,jewellery&watches
662,82905,0,0,mercedesbenz,car
562,46039,0,0,tiffanyandco,jewellery&watches
327,10976,0,0,esteelauder,beauty&cosmetic
245,84263,0,0,mercedesbenz,car
25,967,0,0,lovisajewellery,jewellery&watches
128,31635,0,0,danielwellington,jewellery&watches
108,67948,0,0,mercedesbenz,car
163,70948,0,0,bmw,car
139,107552,0,0,hm,apparels
16,2262,0,0,cottononbody,sports equipment
1868,88646,0,0,mercedesbenz,car
397,97241,0,0,bmw,car
864,106815,0,0,hm,apparels
2331,98353,0,0,chanelofficial,apparels
73,8910,0,0,tagheuer,jewellery&watches
145,67050,0,0,mercedesbenz,car
145,29847,0,0,lamborghini,car
9,3480,0,0,yslbeauty,beauty&cosmetic
1478,74860,0,0,chanelofficial,apparels
600,50643,0,0,dior,apparels
725,120542,0,0,bmw,car
278,36893,0,0,danielwellington,jewellery&watches
11,3378,0,0,tagheuer,jewellery&watches
18,1838,0,0,hyundaiusa,car
588,76817,0,0,mercedesbenz,car
150,18301,0,0,bulgariofficial,jewellery&watches
623,167976,0,0,forever21,apparels
8,594,0,0,kitchenaidusa,home equipment
1551,84805,0,0,chanelofficial,apparels
225,61355,0,0,topshop,apparels
168,32246,0,0,danielwellington,jewellery&watches
36,3779,0,0,toyotausa,car
1814,84807,0,0,mercedesbenz,car
650,32613,0,0,tiffanyandco,jewellery&watches
26,7307,0,0,revlon,beauty&cosmetic
445,89500,0,0,hm,apparels
570,89001,0,0,mercedesbenz,car
18,4192,0,0,toyotausa,car
222,76171,0,0,mercedesbenz,car
80,30569,0,0,danielwellington,jewellery&watches
4671,80424,0,0,mercedesbenz,car
1609,108700,0,0,bmw,car
362,85327,0,0,mercedesbenz,car
609,109908,0,0,bmw,car
1364,67513,0,0,chanelofficial,apparels
1497,80829,0,0,topshop,apparels
360,44257,0,0,dior,apparels
49,2465,0,0,toyotausa,car
542,76326,0,0,hm,apparels
835,40689,0,0,tiffanyandco,jewellery&watches
8,3603,0,0,tagheuer,jewellery&watches
37,1961,0,0,hyundaiusa,car
1203,65142,0,0,chanelofficial,apparels
495,84420,0,0,mercedesbenz,car
47,29462,0,0,danielwellington,jewellery&watches
111,15685,0,0,bulgariofficial,jewellery&watches
523,138980,0,0,forever21,apparels
41,7967,0,0,esteelauder,beauty&cosmetic
11,4599,0,0,revlon,beauty&cosmetic
381,41658,0,0,danielwellington,jewellery&watches
1269,65373,0,0,chanelofficial,apparels
542,84466,0,0,mercedesbenz,car
53,4355,0,0,toyotausa,car
495,150905,0,0,forever21,apparels
396,59589,0,0,mercedesbenz,car
751,102652,0,0,hm,apparels
2421,72175,0,0,mercedesbenz,car
91,26092,0,0,danielwellington,jewellery&watches
345,106912,0,0,bmw,car
8984,173980,0,0,hm,apparels
562,103595,0,0,hm,apparels
121,54023,0,0,topshop,apparels
165,48260,0,0,dior,apparels
238,82658,0,0,mercedesbenz,car
494,52826,0,0,topshop,apparels
328,93008,0,0,bmw,car
159,7784,0,0,tagheuer,jewellery&watches
1004,71408,0,0,chanelofficial,apparels
123,52599,0,0,topshop,apparels
182,31969,0,0,tiffanyandco,jewellery&watches
357,44805,0,0,lamborghini,car
34,5067,0,0,yslbeauty,beauty&cosmetic
138,57708,0,0,topshop,apparels
67,4125,0,0,yslbeauty,beauty&cosmetic
276,21053,0,0,danielwellington,jewellery&watches
190,18046,0,0,bulgariofficial,jewellery&watches
1236,68285,0,0,chanelofficial,apparels
83,65522,0,0,mercedesbenz,car
24,1334,0,0,hyundaiusa,car
190,56466,0,0,topshop,apparels
301,10699,0,0,esteelauder,beauty&cosmetic
19,469,0,0,kitchenaidusa,home equipment
78,30415,0,0,danielwellington,jewellery&watches
122,71818,0,0,mercedesbenz,car
26,3300,0,0,toyotausa,car
15,882,0,0,lovisajewellery,jewellery&watches
1396,71624,0,0,chanelofficial,apparels
360,70089,0,0,mercedesbenz,car
2430,83836,0,0,mercedesbenz,car
68,3133,0,0,cottononbody,sports equipment
327,34267,0,0,danielwellington,jewellery&watches
493,80036,0,0,hm,apparels
90,35029,0,0,lamborghini,car
1183,70866,0,0,dior,apparels
559,98978,0,0,mercedesbenz,car
76,7718,0,0,tagheuer,jewellery&watches
113,46024,0,0,dior,apparels
92,71551,0,0,topshop,apparels
25,6477,0,0,revlon,beauty&cosmetic
344,36753,0,0,danielwellington,jewellery&watches
394,27533,0,0,tiffanyandco,jewellery&watches
53,3822,0,0,yslbeauty,beauty&cosmetic
1068,59917,0,0,chanelofficial,apparels
75,8101,0,0,tagheuer,jewellery&watches
234,83017,0,0,bmw,car
424,82171,0,0,mercedesbenz,car
4,782,0,0,kitchenaidusa,home equipment
319,99632,0,0,bmw,car
1148,64523,0,0,chanelofficial,apparels
22,8333,0,0,esteelauder,beauty&cosmetic
71,27794,0,0,danielwellington,jewellery&watches
375,147094,0,0,forever21,apparels
841,125482,0,0,bmw,car
424,86027,0,0,mercedesbenz,car
1100,70888,0,0,chanelofficial,apparels
15,1196,0,0,lovisajewellery,jewellery&watches
98,48681,0,0,topshop,apparels
39,49876,0,0,topshop,apparels
166,86173,0,0,mercedesbenz,car
116,51631,0,0,topshop,apparels
553,47611,0,0,danielwellington,jewellery&watches
70,48862,0,0,topshop,apparels
928,70782,0,0,mercedesbenz,car
8,2531,0,0,cottononbody,sports equipment
390,106692,0,0,bmw,car
237,70807,0,0,mercedesbenz,car
248,108459,0,0,hm,apparels
125,16230,0,0,danielwellington,jewellery&watches
35,28709,0,0,lamborghini,car
183,13508,0,0,esteelauder,beauty&cosmetic
40,3610,0,0,yslbeauty,beauty&cosmetic
424,95632,0,0,bmw,car
215,164852,0,0,forever21,apparels
516,83607,0,0,mercedesbenz,car
296,78184,0,0,bmw,car
69,30742,0,0,danielwellington,jewellery&watches
517,81543,0,0,mercedesbenz,car
